
=== Cover Fetch: 4086 entries (50 to 4136) ===
Total missing: 4136 | Dry run: false

[51/4136] DC Comics | Flash #14... OK (amazon, 83KB)
[52/4136] DC Comics | Flash #140... OK (amazon, 86KB)
[53/4136] DC Comics | Flash #141... OK (amazon, 4KB)
[54/4136] DC Comics | Flash #142... OK (amazon, 57KB)
[55/4136] DC Comics | Flash #143... OK (amazon, 36KB)
[56/4136] DC Comics | Flash #144... OK (amazon, 34KB)
[57/4136] DC Comics | Flash #145... OK (amazon, 69KB)
[58/4136] DC Comics | Flash #146... OK (amazon, 76KB)
[59/4136] DC Comics | Flash #147... OK (amazon, 83KB)
[60/4136] DC Comics | Flash #148... OK (amazon, 66KB)
[61/4136] DC Comics | Flash #149... OK (amazon, 83KB)
[62/4136] DC Comics | Flash #15... OK (amazon, 70KB)
[63/4136] DC Comics | Flash #150... OK (amazon, 80KB)
[64/4136] DC Comics | Flash #151... OK (amazon, 32KB)
[65/4136] DC Comics | Flash #152... OK (amazon, 64KB)
[66/4136] DC Comics | Flash #153... OK (amazon, 70KB)
[67/4136] DC Comics | Flash #154... OK (amazon, 62KB)
[68/4136] DC Comics | Flash #155... OK (amazon, 91KB)
[69/4136] DC Comics | Flash #156... OK (amazon, 43KB)
[70/4136] DC Comics | Flash #157... OK (amazon, 48KB)
[71/4136] DC Comics | Flash #158... OK (amazon, 36KB)
[72/4136] DC Comics | Flash #159... OK (amazon, 35KB)
[73/4136] DC Comics | Flash #16... OK (amazon, 94KB)
[74/4136] DC Comics | Flash #160... OK (amazon, 39KB)
[75/4136] DC Comics | Flash #161... OK (amazon, 40KB)
[76/4136] DC Comics | Flash #162... OK (amazon, 40KB)
[77/4136] DC Comics | Flash #163... OK (amazon, 36KB)
[78/4136] DC Comics | Flash #164... OK (amazon, 31KB)
[79/4136] DC Comics | Flash #165... OK (amazon, 43KB)
[80/4136] DC Comics | Flash #166... OK (amazon, 60KB)
[81/4136] DC Comics | Flash #167... OK (amazon, 82KB)
[82/4136] DC Comics | Flash #168... OK (amazon, 40KB)
[83/4136] DC Comics | Flash #169... OK (amazon, 87KB)
[84/4136] DC Comics | Flash #17... OK (amazon, 90KB)
[85/4136] DC Comics | Flash #170... OK (amazon, 77KB)
[86/4136] DC Comics | Flash #171... OK (amazon, 70KB)
[87/4136] DC Comics | Flash #172... OK (amazon, 83KB)
[88/4136] DC Comics | Flash #173... OK (amazon, 38KB)
[89/4136] DC Comics | Flash #174... OK (amazon, 66KB)
[90/4136] DC Comics | Flash #175... OK (amazon, 43KB)
[91/4136] DC Comics | Flash #176... OK (amazon, 98KB)
[92/4136] DC Comics | Flash #177... OK (amazon, 74KB)
[93/4136] DC Comics | Flash #178... OK (amazon, 92KB)
[94/4136] DC Comics | Flash #179... OK (amazon, 35KB)
[95/4136] DC Comics | Flash #18... OK (amazon, 66KB)
[96/4136] DC Comics | Flash #180... OK (amazon, 37KB)
[97/4136] DC Comics | Flash #181... OK (amazon, 25KB)
[98/4136] DC Comics | Flash #182... OK (amazon, 41KB)
[99/4136] DC Comics | Flash #183... OK (amazon, 35KB)
[100/4136] DC Comics | Flash #184... OK (amazon, 42KB)
[101/4136] DC Comics | Flash #185... OK (amazon, 35KB)
[102/4136] DC Comics | Flash #186... OK (amazon, 43KB)
[103/4136] DC Comics | Flash #187... OK (amazon, 62KB)
[104/4136] DC Comics | Flash #188... OK (amazon, 34KB)
[105/4136] DC Comics | Flash #189... OK (amazon, 44KB)
[106/4136] DC Comics | Flash #19... OK (amazon, 68KB)
[107/4136] DC Comics | Flash #190... OK (amazon, 34KB)
[108/4136] DC Comics | Flash #191... OK (amazon, 101KB)
[109/4136] DC Comics | Flash #192... ERROR: Image too small (placeholder?)
[110/4136] DC Comics | Flash #193... OK (amazon, 74KB)
[111/4136] DC Comics | Flash #194... OK (amazon, 33KB)
[112/4136] DC Comics | Flash #195... OK (amazon, 22KB)
[113/4136] DC Comics | Flash #196... OK (amazon, 98KB)
[114/4136] DC Comics | Flash #197... OK (amazon, 50KB)
[115/4136] DC Comics | Flash #198... OK (amazon, 20KB)
[116/4136] DC Comics | Flash #199... OK (amazon, 74KB)
[117/4136] DC Comics | Flash #2... OK (amazon, 92KB)
[118/4136] DC Comics | Flash #20... OK (amazon, 64KB)
[119/4136] DC Comics | Flash #200... OK (amazon, 102KB)
[120/4136] DC Comics | Flash #201... OK (amazon, 32KB)
[121/4136] DC Comics | Flash #202... OK (amazon, 82KB)
[122/4136] DC Comics | Flash #203... OK (amazon, 41KB)
[123/4136] DC Comics | Flash #204... OK (amazon, 38KB)
[124/4136] DC Comics | Flash #205... OK (amazon, 80KB)
[125/4136] DC Comics | Flash #206... OK (amazon, 37KB)
[126/4136] DC Comics | Flash #207... OK (amazon, 25KB)
[127/4136] DC Comics | Flash #208... OK (amazon, 38KB)
[128/4136] DC Comics | Flash #209... OK (amazon, 72KB)
[129/4136] DC Comics | Flash #21... OK (amazon, 70KB)
[130/4136] DC Comics | Flash #210... OK (amazon, 29KB)
[131/4136] DC Comics | Flash #211... OK (amazon, 19KB)
[132/4136] DC Comics | Flash #212... OK (amazon, 35KB)
[133/4136] DC Comics | Flash #213... OK (amazon, 36KB)
[134/4136] DC Comics | Flash #214... OK (amazon, 57KB)
[135/4136] DC Comics | Flash #215... OK (amazon, 57KB)
[136/4136] DC Comics | Flash #216... OK (amazon, 40KB)
[137/4136] DC Comics | Flash #217... OK (amazon, 74KB)
[138/4136] DC Comics | Flash #218... OK (amazon, 70KB)
[139/4136] DC Comics | Flash #219... OK (amazon, 66KB)
[140/4136] DC Comics | Flash #22... OK (amazon, 83KB)
[141/4136] DC Comics | Flash #220... OK (amazon, 43KB)
[142/4136] DC Comics | Flash #221... OK (amazon, 92KB)
[143/4136] DC Comics | Flash #222... OK (amazon, 39KB)
[144/4136] DC Comics | Flash #223... OK (amazon, 81KB)
[145/4136] DC Comics | Flash #224... OK (amazon, 91KB)
[146/4136] DC Comics | Flash #225... OK (amazon, 83KB)
[147/4136] DC Comics | Flash #226... OK (amazon, 27KB)
[148/4136] DC Comics | Flash #227... OK (amazon, 48KB)
[149/4136] DC Comics | Flash #228... OK (amazon, 39KB)
[150/4136] DC Comics | Flash #229... OK (amazon, 31KB)
[151/4136] DC Comics | Flash #23... OK (amazon, 64KB)
[152/4136] DC Comics | Flash #230... OK (amazon, 66KB)
[153/4136] DC Comics | Flash #24... OK (amazon, 53KB)
[154/4136] DC Comics | Flash #25... OK (amazon, 59KB)
[155/4136] DC Comics | Flash #26... OK (amazon, 79KB)
[156/4136] DC Comics | Flash #27... OK (amazon, 92KB)
[157/4136] DC Comics | Flash #28... OK (amazon, 82KB)
[158/4136] DC Comics | Flash #29... OK (amazon, 91KB)
[159/4136] DC Comics | Flash #3... OK (amazon, 79KB)
[160/4136] DC Comics | Flash #30... OK (amazon, 84KB)
[161/4136] DC Comics | Flash #31... OK (amazon, 77KB)
[162/4136] DC Comics | Flash #32... OK (amazon, 74KB)
[163/4136] DC Comics | Flash #33... OK (amazon, 44KB)
[164/4136] DC Comics | Flash #34... OK (amazon, 92KB)
[165/4136] DC Comics | Flash #35... OK (amazon, 86KB)
[166/4136] DC Comics | Flash #36... OK (amazon, 68KB)
[167/4136] DC Comics | Flash #37... OK (amazon, 83KB)
[168/4136] DC Comics | Flash #38... OK (amazon, 17KB)
[169/4136] DC Comics | Flash #39... OK (amazon, 80KB)
[170/4136] DC Comics | Flash #4... OK (amazon, 49KB)
[171/4136] DC Comics | Flash #40... OK (amazon, 42KB)
