sid	stitle	eid	etitle	yr
cmmxe5xgg024u9esis2pn2bf9	100 Balas - A Seis Passos da Morte (Opera Graphica)	cmmwuwdeb09k9m3hwoo20z05j	100 Balas - A Seis Passos da Morte	NULL
cmmxe5xfk024t9esia9pocmc0	100 Balas - Atire Primeiro, Pergunte Depois (Opera Graphica)	cmmwuwddo09k7m3hwayp16gh9	100 Balas - Atire Primeiro, Pergunte Depois	2005
cmmxe5xek024s9esit61brkbw	100 Balas - Blues Para um Minute Man (Opera Graphica)	cmmwuwdcy09k5m3hwl32ym28u	100 Balas - Blues Para um Minute Man	NULL
cmmxe5xdm024r9esia6swpxr6	100 Balas - Frio Como Sorvete (Opera Graphica)	cmmwuwdca09k3m3hwqwiom1b8	100 Balas - Frio Como Sorvete	NULL
cmmxe5xcs024q9esiojlu0mla	100 Balas - Parlez Kung Vous (Opera Graphica)	cmmwuwdbn09k1m3hwzlc9stky	100 Balas - Parlez Kung Vous	NULL
cmmxe5xc4024p9esiz8ohu4xv	100 Balas - Samurai (Opera Graphica)	cmmwuwdav09jzm3hwfsgrxmnf	100 Balas - Samurai	NULL
cmmxe6p9402tz9esiit6fsj36	1602 - 1ª Edição (Panini)	cmmwv004u0i5im3hwtlo46p1d	1602 - 1ª Edição (Capa Dura)	2007
cmmxe5bks01fo9esikxmdc7j0	1602 - 2ª Edição (Panini)	cmmwusf7h00sum3hw1fooqt4y	1602 - 2ª Edição (Capa Dura)	2018
cmmxe5bjx01fn9esii9m66i3n	1602 - Marvel Grimório (Panini)	cmmwusf6m00ssm3hwebimo2b1	1602 - Marvel Grimório (Capa Dura)	2022
cmmxe8f1o04re9esikon12pfp	19.999 Léguas Submarinas (Panini)	cmmwv8h3c04ma120nppyrmpzk	19.999 Léguas Submarinas	NULL
cmmxe69ta02f29esidzhd4gb8	2000 Ad Especial (Mythos)	cmmwuxf3e0c27m3hwoboos9v6	2000 Ad Especial	2021
cmmxe6p1602to9esibhvaqfbe	2099 - Manifesto Destino (Mythos)	cmmwuzxav0hyum3hw81jj7lph	2099 - Manifesto Destino	2000
